"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Randolph, Tipton","Industrial Vacant",3,NA,NA,NA,NA,NA,NA,NA,0
"df_sp","Adams, Allen, Blackford, Delaware, Huntington, Wells","Industrial Improved",3,0.72,0.78,1,29.29,43.64,1.17,0,8
"df_sp1","Allen, Delaware, Hamilton, Huntington, Jay, Madison, Tipton, Wabash, Wells","Commercial Vacant",3,0.04,0.32,1,135.51,93.8,1.48,0,18
"2.5%","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Tipton, Wabash, Wells","Commercial Improved",3,0.88,0.91,0.95,24.12,36.89,1.27,0,167
"2.5%1","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Madison, Randolph, Tipton, Wayne, Wells","Residential Vacant",3,0.46,0.82,0.96,60.4,78.04,1.56,0,155
"2.5%2","Adams, Allen, Blackford, Delaware, Grant, Hamilton, Henry, Howard, Huntington, Jay, Madison, Miami, Randolph, Tipton, Wabash, Wayne, Wells","Residential Improved",3,0.95,0.96,0.96,16.52,26.88,1.05,0,5378
"11","Kosciusko, Lagrange, Noble","Industrial Vacant",1,NA,NA,NA,NA,NA,NA,NA,0
"2.5%3","Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Whitley","Industrial Improved",1,0.54,0.68,0.85,28.77,33.6,1.11,0,27
"df_sp2","Kosciusko, Noble, Steuben, Whitley","Commercial Vacant",1,0.25,0.67,0.77,57.44,86.94,3.24,0,12
"2.5%4","Allen, Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Steuben, Wabash, Whitley","Commercial Improved",1,0.81,0.89,0.95,26.8,37.77,1.32,0,102
"2.5%5","Allen, Dekalb, Elkhart, Kosciusko, Lagrange, Noble, Steuben, Whitley","Residential Vacant",1,0.89,0.99,1.07,41.3,61.36,1.82,0,125
"2.5%6","Allen, Dekalb, Elkhart, Huntington, Kosciusko, Lagrange, Noble, St. Joseph, Steuben, Wabash, Whitley","Residential Improved",1,0.95,0.95,0.96,16.41,32.48,1.04,0,3220
"df_sp3","Dearborn, Jefferson, Jennings, Scott, Shelby","Industrial Vacant",7,0.41,0.71,0.87,45.91,64.07,1.29,0,6
"2.5%7","Decatur, Fayette, Henry, Jackson, Jennings, Ripley, Rush, Wayne","Industrial Improved",7,0.52,0.83,0.95,36.71,53.17,1.08,0,20
"2.5%8","Decatur, Fayette, Henry, Jackson, Jefferson, Jennings, Ripley, Scott","Commercial Vacant",7,0.99,1.02,1.11,28.89,48.31,1.35,0,25
"2.5%9","Bartholomew, Brown, Dearborn, Decatur, Fayette, Franklin, Hancock, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Wayne","Commercial Improved",7,0.82,0.86,0.9,29.62,41.46,1.2,0,266
"2.5%10","Bartholomew, Brown, Clark, Dearborn, Decatur, Fayette, Franklin, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Washington, Wayne","Residential Vacant",7,0.8,0.86,0.89,40.32,52.94,1.46,0,705
"2.5%11","Bartholomew, Brown, Clark, Dearborn, Decatur, Fayette, Floyd, Franklin, Hancock, Henry, Jackson, Jefferson, Jennings, Johnson, Ohio, Ripley, Rush, Scott, Shelby, Switzerland, Union, Washington, Wayne","Residential Improved",7,0.91,0.92,0.92,17.33,26.98,1.05,0,6205
"12","Jasper, Newton, Pulaski","Industrial Vacant",5,NA,NA,NA,NA,NA,NA,NA,0
"df_sp4","Jasper, Lake, Newton, Pulaski, Warren","Industrial Improved",5,0.48,0.9,1.35,50.42,59.85,1.74,0,9
"df_sp5","Fountain, Jasper, Pulaski","Commercial Vacant",5,0.69,0.95,1.02,31.83,53.42,1.05,0,10
"2.5%12","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Tippecanoe, Warren, White","Commercial Improved",5,0.9,0.94,0.96,22.92,57.64,1.17,0,101
"2.5%13","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Starke, Tippecanoe, Warren, White","Residential Vacant",5,0.95,1.01,1.05,29.25,43.14,1.38,0,212
"2.5%14","Benton, Fountain, Jasper, Lake, Laporte, Newton, Porter, Pulaski, Starke, Tippecanoe, Warren, White","Residential Improved",5,0.96,0.97,0.97,29.74,91.38,1.15,0,2975
"13","","Industrial Vacant",2,NA,NA,NA,NA,NA,NA,NA,0
"df_sp6","Boone, Clay, Clinton, Montgomery, Morgan, Owen, Putnam","Industrial Improved",2,0.54,0.67,0.89,33.86,36.31,1.47,0,12
"2.5%15","Boone, Clay, Clinton, Hamilton, Hendricks, Montgomery, Morgan, Parke, Putnam, Vigo","Commercial Vacant",2,0.3,0.66,0.96,54.96,65.38,1.51,0,38
"2.5%16","Boone, Brown, Clay, Clinton, Fountain, Greene, Hamilton, Hendricks, Johnson, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo","Commercial Improved",2,0.92,0.95,0.98,25.51,47.66,1.24,0,130
"2.5%17","Boone, Brown, Clay, Clinton, Fountain, Greene, Hamilton, Hendricks, Johnson, Monroe, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Tippecanoe, Vermillion, Vigo, Warren","Residential Vacant",2,0.83,0.88,0.91,38.52,54.25,1.16,0,577
"2.5%18","Boone, Brown, Clay, Clinton, Fountain, Greene, Hamilton, Hendricks, Johnson, Monroe, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Tippecanoe, Tipton, Vermillion, Vigo, Warren","Residential Improved",2,0.93,0.94,0.94,15.33,26.65,1.04,0,4379
"14","Marshall, St. Joseph, Starke","Industrial Vacant",6,NA,NA,NA,NA,NA,NA,NA,0
"2.5%19","Carroll, Cass, Fulton, Kosciusko, Marshall, Miami, Pulaski, St. Joseph, Starke","Industrial Improved",6,0.74,0.95,0.99,30.66,65.57,1.59,0,33
"df_sp7","Carroll, Cass, Marshall, Starke","Commercial Vacant",6,0.37,0.7,0.99,45,55.55,1.23,0,16
"2.5%20","Carroll, Cass, Clinton, Fulton, Howard, Kosciusko, Marshall, Miami, Pulaski, St. Joseph, Starke","Commercial Improved",6,0.9,0.93,0.97,26.98,42.35,1.35,0,205
"2.5%21","Carroll, Cass, Fulton, Howard, Kosciusko, Laporte, Marshall, Miami, Pulaski, St. Joseph, Starke, Tipton, Wabash, White","Residential Vacant",6,0.96,1,1.02025,33.67,49.14,1.63,0,304
"2.5%22","Carroll, Cass, Clinton, Elkhart, Fulton, Howard, Kosciusko, Laporte, Marshall, Miami, Pulaski, St. Joseph, Starke, Tippecanoe, Tipton, Wabash, White","Residential Improved",6,0.93,0.94,0.95,17.9,32.51,1.06,0,4827
"df_sp8","Knox, Perry, Warrick","Industrial Vacant",4,0.33,0.97,1.28,33.16,50.99,1.29,0,6
"df_sp9","Dubois, Harrison, Knox, Lawrence, Orange, Perry, Pike, Posey, Warrick","Industrial Improved",4,0.98,1.01,1.06,19.75,34.64,1.12,0,12
"df_sp10","Daviess, Harrison, Orange, Posey, Sullivan, Warrick, Washington","Commercial Vacant",4,0.1,0.96,1.05,38.66,63.8,3.28,0,14
"2.5%23","Crawford, Dubois, Gibson, Greene, Harrison, Knox, Lawrence, Martin, Orange, Perry, Pike, Posey, Spencer, Sullivan, Warrick, Washington","Commercial Improved",4,0.92,0.94,0.96,18.49,29.11,1.13,0,209
"2.5%24","Crawford, Daviess, Dubois, Floyd, Gibson, Greene, Harrison, Knox, Lawrence, Martin, Monroe, Orange, Perry, Pike, Posey, Spencer, Warrick, Washington","Residential Vacant",4,0.96,0.99,1.02,27.07,39.12,1.23,0,631
