"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"1","Randolph, Tipton","Industrial Vacant",3,NA,NA,NA,NA,NA,NA,NA,0
"df_sp","Huntington, Blackford, Adams, Allen, Wells, Delaware","Industrial Improved",3,0.72,0.78,1,29.29,43.64,1.17,0,8
"df_sp1","Tipton, Madison, Jay, Huntington, Wabash, Wells, Allen, Delaware","Commercial Vacant",3,0.25,0.36,0.91,92.91,76.69,0.75,0,12
"2.5%","Jay, Tipton, Wells, Blackford, Henry, Huntington, Delaware, Adams, Grant, Wabash, Howard","Commercial Improved",3,0.87,0.93,0.97,20.57,30.71,1.11,0,130
"2.5%1","Adams, Huntington, Allen, Howard, Jay, Wells, Randolph, Delaware, Blackford, Henry, Hamilton, Grant, Tipton, Wayne","Residential Vacant",3,0.58,0.79,0.91,54.03,74.04,1.13,0,139
"2.5%2","Blackford, Wells, Jay, Howard, Tipton, Adams, Huntington, Randolph, Wabash, Henry, Miami, Delaware, Grant, Hamilton, Madison, Wayne, Allen","Residential Improved",3,0.95,0.95,0.96,12.97,18.4,1.02,0,4916
"11","Noble, Lagrange, Kosciusko","Industrial Vacant",1,NA,NA,NA,NA,NA,NA,NA,0
"2.5%3","Noble, Dekalb, Lagrange, Whitley, Elkhart, Kosciusko","Industrial Improved",1,0.54,0.68,0.84,28.77,33.6,1.11,0,27
"df_sp2","Noble, Whitley, Steuben, Kosciusko","Commercial Vacant",1,0.21,0.31,0.7,86.51,76.55,1.43,0,13
"2.5%4","Noble, Whitley, Kosciusko, Lagrange, Steuben, Dekalb, Elkhart, Wabash, Allen","Commercial Improved",1,0.81,0.89,0.95,25.98,36.8,1.33,0,93
"2.5%5","Steuben, Dekalb, Noble, Allen, Whitley, Lagrange, Kosciusko, Elkhart","Residential Vacant",1,0.84,0.88,0.94,34.86,52.88,1.34,0,117
"2.5%6","Noble, Allen, Kosciusko, Whitley, Elkhart, Dekalb, Steuben, Wabash, Lagrange, Huntington, St. Joseph","Residential Improved",1,0.94,0.95,0.95,12.98,23.57,1.02,0,3056
"df_sp3","Dearborn, Shelby, Jefferson, Scott, Jennings","Industrial Vacant",7,0.41,0.55,0.67,55.34,77.11,1.13,0,6
"df_sp4","Rush, Decatur, Henry, Fayette, Jackson, Jennings, Wayne","Industrial Improved",7,0.66,0.86,0.94,19.77,27.32,1,0,15
"2.5%7","Henry, Ripley, Jefferson, Fayette, Jennings, Scott, Jackson, Switzerland, Washington, Decatur","Commercial Vacant",7,0.94,1.02,1.02,27.81,50.82,1.19,0,30
"2.5%8","Dearborn, Jefferson, Decatur, Ripley, Union, Shelby, Bartholomew, Jennings, Ohio, Jackson, Fayette, Franklin, Switzerland, Scott, Johnson, Brown, Hancock, Rush, Wayne","Commercial Improved",7,0.85,0.89,0.92,24.7,34.61,1.05,0,235
"2.5%9","Ohio, Dearborn, Franklin, Ripley, Jefferson, Jackson, Union, Rush, Jennings, Fayette, Shelby, Decatur, Washington, Brown, Scott, Clark, Johnson, Henry, Bartholomew, Switzerland, Wayne","Residential Vacant",7,0.72,0.77,0.8,40.26,53.9,1.17,0,688
"2.5%10","Clark, Jennings, Rush, Dearborn, Jackson, Jefferson, Brown, Fayette, Ripley, Shelby, Decatur, Franklin, Ohio, Union, Bartholomew, Henry, Switzerland, Hancock, Washington, Scott, Johnson, Wayne, Floyd","Residential Improved",7,0.91,0.92,0.92,15.79,24.32,1.04,0,5899
"12","Jasper, Newton","Industrial Vacant",5,NA,NA,NA,NA,NA,NA,NA,0
"df_sp5","Newton, Jasper, Lake","Industrial Improved",5,0.86,1.03,1.35,35.78,44.93,1.05,0,6
"df_sp6","Pulaski, Fountain, Jasper","Commercial Vacant",5,0.22,0.51,0.98,69.21,68.69,0.63,0,10
"2.5%11","Newton, Jasper, White, Lake, Porter, Fountain, Warren, Tippecanoe, Pulaski, Benton, Laporte","Commercial Improved",5,0.9,0.95,0.97,20.68,56.01,1.07,0,95
"2.5%12","Warren, Lake, Tippecanoe, Newton, White, Pulaski, Jasper, Laporte, Benton, Porter, Starke, Fountain","Residential Vacant",5,0.87,0.9,0.94,27.55,41,1.21,0,208
"2.5%13","Jasper, Newton, Warren, Tippecanoe, Lake, White, Porter, Pulaski, Benton, Fountain, Laporte, Starke","Residential Improved",5,0.96,0.97,0.97,30.32,94.95,1.15,0,2961
"13","","Industrial Vacant",2,NA,NA,NA,NA,NA,NA,NA,0
"df_sp7","Owen, Clay, Morgan, Putnam, Montgomery","Industrial Improved",2,0.89,0.96,1.09,13.46,16.61,1.02,0,6
"2.5%14","Parke, Hamilton, Montgomery, Boone, Hendricks, Vigo, Morgan, Clay, Putnam, Greene","Commercial Vacant",2,0.32,0.62,0.79,56.55,68.02,1.1,0,41
"2.5%15","Morgan, Tippecanoe, Vigo, Putnam, Brown, Montgomery, Parke, Hendricks, Owen, Fountain, Boone, Greene, Clay, Vermillion, Johnson, Sullivan","Commercial Improved",2,0.94,0.96,0.98,19.13,40.07,1.08,0,111
"2.5%16","Hendricks, Hamilton, Putnam, Montgomery, Clinton, Morgan, Parke, Boone, Fountain, Vigo, Owen, Johnson, Tippecanoe, Warren, Brown, Vermillion, Monroe, Clay, Sullivan, Greene","Residential Vacant",2,0.75,0.82,0.85,37.52,54.47,0.99,0,573
"2.5%17","Morgan, Hendricks, Hamilton, Monroe, Putnam, Montgomery, Tippecanoe, Brown, Clinton, Boone, Clay, Warren, Vigo, Owen, Fountain, Vermillion, Parke, Johnson, Greene, Sullivan, Tipton","Residential Improved",2,0.93,0.94,0.94,14.47,28.2,1.03,0,4193
"14","St. Joseph, Marshall, Starke","Industrial Vacant",6,NA,NA,NA,NA,NA,NA,NA,0
"2.5%18","Miami, Cass, Pulaski, Carroll, Fulton, Starke, Kosciusko, Marshall, St. Joseph","Industrial Improved",6,0.85,0.95,1,28.17,62.54,1.23,0,30
"df_sp8","Cass, Carroll, Marshall, Starke","Commercial Vacant",6,0.37,0.72,0.98,43.2,54.28,1.25,0,17
"2.5%19","Carroll, Cass, Starke, Pulaski, Miami, Kosciusko, Fulton, Howard, Marshall, St. Joseph","Commercial Improved",6,0.92,0.94,0.99,21.21,35.16,1.08,0,176
"2.5%20","Cass, St. Joseph, Miami, Howard, Carroll, Laporte, Fulton, Pulaski, Tipton, Marshall, White, Kosciusko, Starke, Wabash","Residential Vacant",6,0.89,0.92,0.95,31.72,49.99,1.4,0,296
"2.5%21","Cass, Carroll, White, Fulton, St. Joseph, Starke, Miami, Pulaski, Tippecanoe, Marshall, Tipton, Laporte, Howard, Clinton, Kosciusko, Wabash, Elkhart","Residential Improved",6,0.93,0.94,0.94,17.84,38.34,1.06,0,4685
"df_sp9","Warrick, Perry, Knox","Industrial Vacant",4,0.25,0.97,0.99,25.51,51.18,1.1,0,6
"df_sp10","Knox, Orange, Pike, Lawrence, Posey, Dubois, Perry, Warrick, Harrison","Industrial Improved",4,0.98,1.01,1.06,19.75,34.64,1.12,0,12
"2.5%22","Orange, Washington, Daviess, Harrison, Warrick, Sullivan, Posey, Knox","Commercial Vacant",4,0.46,0.91,0.93,32.63,54.94,2.27,0,23
"2.5%23","Orange, Sullivan, Lawrence, Washington, Warrick, Spencer, Gibson, Perry, Knox, Posey, Harrison, Martin, Crawford, Pike, Dubois, Greene","Commercial Improved",4,0.93,0.94,0.96,16.08,25.08,1.07,0,200
